bear,hair
bomb,watch
bowl,owl
box,fox
box,tree
cake,hat
cake,rake
cat,hat
chair,foot
clock,bear
comb,bomb
comb,train
cow,bow
deer,beer
deer,hair
fox,shoe
key,tree
owl,key
pear,plane
plane,train
rake,root
root,foot
rope,cow
shell,bow
shell,bell
shoe,toe
snail,beer
snail,whale
soap,match
soap,rope
sock,bell
sock,clock
toe,bowl
watch,match
whale,cat
