cue,target,cond,occurence
hubschrauber,rakete,cat+ass,1
strassenbahn,strassenbahn,iden,1
kohl,lauch,cat+ass,1
gras,knopf,none,1
schlagzeug,flugzeug,phon,1
klee,tee,phon,1
baer,dachs,cat+ass,1
schornstein,schwein,phon,1
tapete,rakete,phon,2
bus,strassenbahn,cat+ass,2
bauch,lauch,phon,2
hund,fisch,cat+ass,1
ballon,flugzeug,cat+ass,2
bein,wein,phon,1
gurke,wal,none,1
schwein,schwein,iden,2
wachs,dachs,phon,2
schuh,schuh,iden,1
reis,reis,iden,1
brot,fisch,none,2
löffel,tasche,none,1
rakete,rakete,iden,3
schraube,traube,phon,1
schiff,lauch,none,3
saft,wein,cat+ass,2
kuh,schuh,phon,2
pantoffel,kartoffel,phon,1
fahrrad,hose,none,1
gras,knopf,none,2
bier,tee,cat+ass,2
wal,wal,iden,2
lauch,lauch,iden,4
saft,wein,cat+ass,3
kleid,schuh,cat+ass,3
kartoffel,kartoffel,iden,2
anzug,hose,cat+ass,2
fussball,traube,none,2
klee,tee,phon,3
otter,wal,cat+ass,3
topf,knopf,phon,3
wein,wein,iden,4
ballon,flugzeug,cat+ass,3
kuh,schuh,phon,4
hut,kaffee,none,1
mehl,reis,cat+ass,2
suppe,suppe,iden,1
strassenbahn,strassenbahn,iden,3
hemd,knopf,cat+ass,4
fisch,fisch,iden,3
löffel,tasche,none,2
kartoffel,kartoffel,iden,3
kaffee,kaffee,iden,2
pfanne,schwein,none,3
reis,reis,iden,3
zelt,wein,none,5
hammer,suppe,none,2
knopf,knopf,iden,5
kamm,dachs,none,3
maus,tee,none,4
hirsch,pferd,cat+ass,1
fussball,traube,none,3
horn,reis,none,4
milch,kaffee,cat+ass,3
puppe,suppe,phon,3
nest,schuh,none,5
dachs,dachs,iden,4
tee,tee,iden,5
zahn,pferd,none,2
topf,knopf,phon,6
zelt,wein,none,6
elefant,rakete,none,4
puppe,suppe,phon,4
tisch,fisch,phon,4
traube,traube,iden,4
huhn,strassenbahn,none,4
schwert,pferd,phon,3
kaffee,kaffee,iden,4
bier,tee,cat+ass,6
bauch,lauch,phon,5
wachs,dachs,phon,5
kleid,schuh,cat+ass,6
tisch,fisch,phon,5
schwan,strassenbahn,phon,5
hirsch,pferd,cat+ass,4
schnitzel,kartoffel,cat+ass,4
flasche,tasche,phon,3
apfel,traube,cat+ass,5
hubschrauber,rakete,cat+ass,5
horn,reis,none,5
wein,wein,iden,7
bus,strassenbahn,cat+ass,6
pfanne,schwein,none,4
schnitzel,kartoffel,cat+ass,5
affe,flugzeug,none,4
dachs,dachs,iden,6
tasche,tasche,iden,4
pedal,wal,phon,4
bein,wein,phon,8
nest,schuh,none,7
ziege,schwein,cat+ass,5
pelikan,kartoffel,none,6
schlagzeug,flugzeug,phon,5
apfel,traube,cat+ass,6
hose,hose,iden,3
pedal,wal,phon,5
eis,reis,phon,6
tee,tee,iden,7
fisch,fisch,iden,6
schnee,kaffee,phon,5
zwiebel,suppe,cat+ass,5
traube,traube,iden,7
hose,hose,iden,4
gurke,wal,none,6
kohl,lauch,cat+ass,6
knopf,knopf,iden,7
hund,fisch,cat+ass,7
milch,kaffee,cat+ass,6
zahn,pferd,none,5
schraube,traube,phon,8
flasche,tasche,phon,5
wal,wal,iden,7
tapete,rakete,phon,6
rose,hose,phon,5
brot,fisch,none,8
schnee,kaffee,phon,7
affe,flugzeug,none,6
hemd,knopf,cat+ass,8
mehl,reis,cat+ass,7
schwein,schwein,iden,6
huhn,strassenbahn,none,7
hammer,suppe,none,6
stiefel,tasche,cat+ass,6
elefant,rakete,none,7
pferd,pferd,iden,6
schiff,lauch,none,7
fahrrad,hose,none,6
schuh,schuh,iden,8
schwan,strassenbahn,phon,8
kamm,dachs,none,7
hut,kaffee,none,8
pantoffel,kartoffel,phon,7
zwiebel,suppe,cat+ass,7
otter,wal,cat+ass,8
pferd,pferd,iden,7
flugzeug,flugzeug,iden,7
ziege,schwein,cat+ass,7
baer,dachs,cat+ass,8
maus,tee,none,8
pelikan,kartoffel,none,8
eis,reis,phon,8
tasche,tasche,iden,7
rose,hose,phon,7
flugzeug,flugzeug,iden,8
schornstein,schwein,phon,8
rakete,rakete,iden,8
schwert,pferd,phon,8
lauch,lauch,iden,8
suppe,suppe,iden,8
stiefel,tasche,cat+ass,8
anzug,hose,cat+ass,8
