Pedal	Wal	PHON	10
Hut	Kaffee	NONE	7
Horn	Reis	NONE	8
Anzug	Hose	CAT+ASS	6
Elefant	Rakete	NONE	9
Schwein	Schwein	IDEN	12
Kartoffel	Kartoffel	IDEN	8
Hund	Fisch	CAT+ASS	9
Wachs	Dachs	PHON	10
Strassenbahn	Strassenbahn	IDEN	7
Stiefel	Tasche	CAT+ASS	10
Eis	Reis	PHON	9
Anzug	Hose	CAT+ASS	7
Saft	Wein	CAT+ASS	7
Pantoffel	Kartoffel	PHON	9
Ballon	Flugzeug	CAT+ASS	10
Dachs	Dachs	IDEN	11
Huhn	Strassenbahn	NONE	8
Kohl	Lauch	CAT+ASS	10
Kaffee	Kaffee	IDEN	8
Anzug	Hose	CAT+ASS	8
Saft	Wein	CAT+ASS	8
Topf	Knopf	PHON	12
Hirsch	Pferd	CAT+ASS	7
Hubschrauber	Rakete	CAT+ASS	10
Brot	Fisch	NONE	10
Gurke	Wal	NONE	11
Kaffee	Kaffee	IDEN	9
Zwiebel	Suppe	CAT+ASS	9
Tee	Tee	IDEN	11
Bein	Wein	PHON	9
Schwert	Pferd	PHON	8
Apfel	Traube	CAT+ASS	9
Fisch	Fisch	IDEN	11
Horn	Reis	NONE	10
Dachs	Dachs	IDEN	12
Tapete	Rakete	PHON	11
Löffel	Tasche	NONE	11
Pelikan	Kartoffel	NONE	10
Schwert	Pferd	PHON	9
Fussball	Traube	NONE	10
Flugzeug	Flugzeug	IDEN	11
Schwein	Schwein	IDEN	13
Bein	Wein	PHON	10
Tapete	Rakete	PHON	12
Kleid	Schuh	CAT+ASS	10
Lauch	Lauch	IDEN	11
Wachs	Dachs	PHON	13
Fussball	Traube	NONE	11
Schwan	Strassenbahn	PHON	9
Ziege	Schwein	CAT+ASS	14
Zelt	Wein	NONE	11
Affe	Flugzeug	NONE	12
Puppe	Suppe	PHON	10
Topf	Knopf	PHON	13
Dachs	Dachs	IDEN	14
Otter	Wal	CAT+ASS	12
Strassenbahn	Strassenbahn	IDEN	10
Rose	Hose	PHON	9
Tee	Tee	IDEN	12
Tasche	Tasche	IDEN	12
Bauch	Lauch	PHON	12
Pferd	Pferd	IDEN	10
Schornstein	Schwein	PHON	15
Gurke	Wal	NONE	13
Huhn	Strassenbahn	NONE	11
Hose	Hose	IDEN	10
Schlagzeug	Flugzeug	PHON	13
Schraube	Traube	PHON	12
Kartoffel	Kartoffel	IDEN	11
Bauch	Lauch	PHON	13
Schnee	Kaffee	PHON	10
Wal	Wal	IDEN	14
Schwan	Strassenbahn	PHON	12
Bein	Wein	PHON	12
Knopf	Knopf	IDEN	14
Kuh	Schuh	PHON	11
Fisch	Fisch	IDEN	12
Fahrrad	Hose	NONE	11
Maus	Tee	NONE	13
Pedal	Wal	PHON	15
Pferd	Pferd	IDEN	11
Flugzeug	Flugzeug	IDEN	14
Schnee	Kaffee	PHON	11
Rakete	Rakete	IDEN	13
Kleid	Schuh	CAT+ASS	12
Hund	Fisch	CAT+ASS	13
Tee	Tee	IDEN	14
Wal	Wal	IDEN	16
Rose	Hose	PHON	12
Schwan	Strassenbahn	PHON	13
Kaffee	Kaffee	IDEN	12
Reis	Reis	IDEN	11
Hirsch	Pferd	CAT+ASS	12
Schiff	Lauch	NONE	14
Schornstein	Schwein	PHON	16
Pantoffel	Kartoffel	PHON	12
Fahrrad	Hose	NONE	13
Flasche	Tasche	PHON	13
Schnee	Kaffee	PHON	13
Wein	Wein	IDEN	13
Horn	Reis	NONE	12
Tee	Tee	IDEN	15
Pferd	Pferd	IDEN	13
Hammer	Suppe	NONE	11
Rose	Hose	PHON	14
Pantoffel	Kartoffel	PHON	13
Brot	Fisch	NONE	14
Wein	Wein	IDEN	14
Reis	Reis	IDEN	13
Kohl	Lauch	CAT+ASS	15
Schuh	Schuh	IDEN	13
Zahn	Pferd	NONE	14
Strassenbahn	Strassenbahn	IDEN	14
Rakete	Rakete	IDEN	14
Pelikan	Kartoffel	NONE	14
Fisch	Fisch	IDEN	15
Mehl	Reis	CAT+ASS	14
Suppe	Suppe	IDEN	12
Nest	Schuh	NONE	14
Schwert	Pferd	PHON	15
Gras	Knopf	NONE	15
Hut	Kaffee	NONE	14
Ballon	Flugzeug	CAT+ASS	15
Baer	Dachs	CAT+ASS	15
Fussball	Traube	NONE	13
Zwiebel	Suppe	CAT+ASS	13
Zelt	Wein	NONE	15
Rakete	Rakete	IDEN	15
Schuh	Schuh	IDEN	15
Schnitzel	Kartoffel	CAT+ASS	15
Reis	Reis	IDEN	15
Hose	Hose	IDEN	15
Apfel	Traube	CAT+ASS	14
Tasche	Tasche	IDEN	14
Hut	Kaffee	NONE	15
Puppe	Suppe	PHON	14
Schwan	Strassenbahn	PHON	15
Zahn	Pferd	NONE	16
Hemd	Knopf	CAT+ASS	16
Schuh	Schuh	IDEN	16
Traube	Traube	IDEN	15
Bier	Tee	CAT+ASS	16
Kartoffel	Kartoffel	IDEN	16
Dachs	Dachs	IDEN	16
Zwiebel	Suppe	CAT+ASS	15
Löffel	Tasche	NONE	15
Bus	Strassenbahn	CAT+ASS	16
Wein	Wein	IDEN	16
Apfel	Traube	CAT+ASS	16
Flugzeug	Flugzeug	IDEN	16
Kaffee	Kaffee	IDEN	16
Anzug	Hose	CAT+ASS	16
Kohl	Lauch	CAT+ASS	16
Brot	Fisch	NONE	16
Hammer	Suppe	NONE	16
Mehl	Reis	CAT+ASS	16
Stiefel	Tasche	CAT+ASS	16
Rakete	Rakete	IDEN	16
