Cue,Target,Condition,Occurence
Strassenbahn,Strassenbahn,IDEN,9
Löffel,Tasche,NONE,10
Bier,Tee,CAT+ASS,9
Anzug,Hose,CAT+ASS,10
Pelikan,Kartoffel,NONE,9
Hund,Fisch,CAT+ASS,8
Kleid,Schuh,CAT+ASS,13
Hut,Kaffee,NONE,11
Suppe,Suppe,IDEN,11
Tasche,Tasche,IDEN,11
Bus,Strassenbahn,CAT+ASS,10
Ziege,Schwein,CAT+ASS,12
Maus,Tee,NONE,10
Anzug,Hose,CAT+ASS,11
Ballon,Flugzeug,CAT+ASS,9
Brot,Fisch,NONE,9
Hirsch,Pferd,CAT+ASS,15
Kamm,Dachs,NONE,9
Schwan,Strassenbahn,PHON,11
Schnitzel,Kartoffel,CAT+ASS,10
Kuh,Schuh,PHON,14
Rakete,Rakete,IDEN,10
Mehl,Reis,CAT+ASS,9
Pfanne,Schwein,NONE,13
Ballon,Flugzeug,CAT+ASS,10
Zelt,Wein,NONE,8
Strassenbahn,Strassenbahn,IDEN,12
Milch,Kaffee,CAT+ASS,12
Dachs,Dachs,IDEN,10
Topf,Knopf,PHON,11
Klee,Tee,PHON,11
Hund,Fisch,CAT+ASS,10
Mehl,Reis,CAT+ASS,10
Bein,Wein,PHON,9
Gurke,Wal,NONE,8
Huhn,Strassenbahn,NONE,13
Ballon,Flugzeug,CAT+ASS,11
Elefant,Rakete,NONE,11
Bier,Tee,CAT+ASS,12
Tisch,Fisch,PHON,11
Eis,Reis,PHON,11
Saft,Wein,CAT+ASS,10
Ziege,Schwein,CAT+ASS,14
Topf,Knopf,PHON,12
Pelikan,Kartoffel,NONE,11
Hut,Kaffee,NONE,13
Zwiebel,Suppe,CAT+ASS,12
Tisch,Fisch,PHON,12
Eis,Reis,PHON,12
Löffel,Tasche,NONE,12
Bein,Wein,PHON,11
Schwert,Pferd,PHON,16
Wal,Wal,IDEN,9
Hut,Kaffee,NONE,14
Hammer,Suppe,NONE,13
Schwan,Strassenbahn,PHON,14
Bauch,Lauch,PHON,9
Löffel,Tasche,NONE,13
Kamm,Dachs,NONE,11
Schnitzel,Kartoffel,CAT+ASS,12
Pedal,Wal,PHON,10
Schnee,Kaffee,PHON,15
Elefant,Rakete,NONE,12
Strassenbahn,Strassenbahn,IDEN,15
Schraube,Traube,PHON,12
Anzug,Hose,CAT+ASS,12
Stiefel,Tasche,CAT+ASS,14
Pelikan,Kartoffel,NONE,13
Gras,Knopf,NONE,13
Milch,Kaffee,CAT+ASS,16
Otter,Wal,CAT+ASS,11
Klee,Tee,PHON,13
Horn,Reis,NONE,13
Zelt,Wein,NONE,12
Schraube,Traube,PHON,13
Wachs,Dachs,PHON,12
Knopf,Knopf,IDEN,14
Nest,Schuh,NONE,15
Pedal,Wal,PHON,12
Flugzeug,Flugzeug,IDEN,12
Flasche,Tasche,PHON,15
Fisch,Fisch,IDEN,13
Lauch,Lauch,IDEN,10
Horn,Reis,NONE,14
Topf,Knopf,PHON,15
Wachs,Dachs,PHON,13
Fussball,Traube,NONE,14
Puppe,Suppe,PHON,14
Affe,Flugzeug,NONE,13
Schuh,Schuh,IDEN,16
Hund,Fisch,CAT+ASS,14
Bauch,Lauch,PHON,11
Gras,Knopf,NONE,16
Klee,Tee,PHON,14
Fussball,Traube,NONE,15
Zelt,Wein,NONE,13
Tapete,Rakete,PHON,13
Mehl,Reis,CAT+ASS,15
Otter,Wal,CAT+ASS,13
Puppe,Suppe,PHON,15
Schiff,Lauch,NONE,12
Affe,Flugzeug,NONE,14
Hose,Hose,IDEN,13
Brot,Fisch,NONE,15
Rakete,Rakete,IDEN,14
Reis,Reis,IDEN,16
Bier,Tee,CAT+ASS,15
Flasche,Tasche,PHON,16
Bauch,Lauch,PHON,13
Zelt,Wein,NONE,14
Hose,Hose,IDEN,14
Hund,Fisch,CAT+ASS,16
Schlagzeug,Flugzeug,PHON,15
Ziege,Schwein,CAT+ASS,15
Wal,Wal,IDEN,14
Tee,Tee,IDEN,16
Kohl,Lauch,CAT+ASS,14
Dachs,Dachs,IDEN,14
Anzug,Hose,CAT+ASS,15
Kartoffel,Kartoffel,IDEN,14
Elefant,Rakete,NONE,15
Suppe,Suppe,IDEN,16
Wal,Wal,IDEN,15
Saft,Wein,CAT+ASS,15
Lauch,Lauch,IDEN,15
Baer,Dachs,CAT+ASS,15
Rose,Hose,PHON,16
Schnitzel,Kartoffel,CAT+ASS,15
Schwan,Strassenbahn,PHON,16
Pfanne,Schwein,NONE,16
Gurke,Wal,NONE,16
Wein,Wein,IDEN,16
Apfel,Traube,CAT+ASS,16
Schlagzeug,Flugzeug,PHON,16
Schiff,Lauch,NONE,16
Kamm,Dachs,NONE,16
Kartoffel,Kartoffel,IDEN,16
Rakete,Rakete,IDEN,16
